IATACode,Headquarters,Alliance,FoundingYear
AA,"Fort Worth, Texas, USA",Oneworld,1926
AS,"SeaTac, Washington, USA",Oneworld,1932
QX,"SeaTac, Washington, USA",None,1981
YX,"Indianapolis, Indiana, USA",None,1973
DL,"Atlanta, Georgia, USA",SkyTeam,1924
HA,"Honolulu, Hawaii, USA",None,1929
UA,"Chicago, Illinois, USA",Star Alliance,1926
BA,"London, England, UK",Oneworld,1974
LH,"Cologne, Germany",Star Alliance,1953
AF,"Tremblay-en-France, France",SkyTeam,1933
SQ,Singapore,Star Alliance,1947
QF,"Sydney, New South Wales, Australia",Oneworld,1920
EK,"Dubai, United Arab Emirates",None,1985
NZ,"Auckland, New Zealand",Star Alliance,1940
CX,Hong Kong,Oneworld,1946
TK,"Istanbul, Turkey",Star Alliance,1933
